Wall time,Step,Value
1567270207.4849584,0,4.494684219360352
1567270520.1532362,1,3.825486421585083
1567270828.0740433,2,3.6260015964508057
1567271130.8436546,3,3.4576313495635986
1567271434.9374945,4,3.329155921936035
1567271740.6916237,5,3.2298293113708496
1567272044.8898606,6,3.0843310356140137
1567272349.6737108,7,2.947066068649292
1567272653.920687,8,2.7650983333587646
1567272957.2386286,9,2.6380560398101807
1567273261.3974886,10,2.5054571628570557
1567273563.668511,11,2.37719988822937
1567273866.8924718,12,2.2840516567230225
1567274171.1498792,13,2.1857001781463623
1567274475.8706686,14,2.1006526947021484
1567274779.464544,15,2.017714500427246
1567275082.5752568,16,1.9394127130508423
1567275386.8198361,17,1.8790011405944824
1567275690.4186113,18,1.815624475479126
1567275994.4927676,19,1.7584501504898071
1567276731.1685414,20,1.6967610120773315
1567277039.2670922,21,1.6529287099838257
1567277343.1595197,22,1.6158077716827393
1567277647.735033,23,1.5812814235687256
1567277953.6759033,24,1.544045329093933
1567278258.24855,25,1.5117264986038208
1567278562.3734267,26,1.4670509099960327
1567278867.2824006,27,1.4491792917251587
1567279170.6577704,28,1.4189108610153198
1567279486.7934804,29,1.4005405902862549
1567279805.2965765,30,1.3830440044403076
1567280124.2160683,31,1.3507397174835205
1567280437.6034715,32,1.3471391201019287
1567280759.505076,33,1.3299424648284912
1567281066.3340836,34,1.3096513748168945
1567281374.1056547,35,1.303174614906311
1567281681.7058077,36,1.2932746410369873
1567281988.6561098,37,1.2869250774383545
1567282296.2696953,38,1.2825298309326172
1567283037.2882748,39,1.273824691772461
