Wall time,Step,Value
1567358547.302464,0,3.8884620666503906
1567358802.4423392,1,3.5417163372039795
1567359054.9210365,2,3.4652132987976074
1567359307.7038114,3,3.424880027770996
1567359559.7793381,4,3.381791114807129
1567359812.3128388,5,3.3074240684509277
1567360064.7230992,6,3.2378087043762207
1567360317.8087487,7,3.153170347213745
1567360569.560401,8,3.075397253036499
1567360822.0931308,9,2.995652675628662
1567361074.1236196,10,2.9082255363464355
1567361326.6292198,11,2.806089162826538
1567361578.445086,12,2.6720705032348633
1567361829.7899837,13,2.528438091278076
1567362081.4282393,14,2.378178834915161
1567362333.7746813,15,2.2750096321105957
1567362585.8340442,16,2.1766107082366943
1567362837.3987362,17,2.0815696716308594
1567363089.6172218,18,1.9933147430419922
1567363342.0357788,19,1.9389452934265137
1567364051.5376883,20,1.8513153791427612
1567364306.66228,21,1.7885173559188843
1567364558.3722396,22,1.7082351446151733
1567364810.095305,23,1.661304235458374
1567365061.624639,24,1.5995079278945923
1567365313.8760962,25,1.5354804992675781
1567365565.6057844,26,1.4920622110366821
1567365819.1964793,27,1.4644650220870972
1567366072.060381,28,1.3981523513793945
1567366324.0841568,29,1.386531114578247
1567366575.8730721,30,1.329135537147522
1567366828.3823678,31,1.310267448425293
1567367080.4274828,32,1.2798501253128052
1567367332.1846528,33,1.2595640420913696
1567367584.5618646,34,1.226522445678711
1567367836.3524966,35,1.2152067422866821
1567368089.3654063,36,1.1964871883392334
1567368340.9016798,37,1.1717758178710938
1567368593.8709435,38,1.17414391040802
1567369308.6609735,39,1.1713502407073975
