Wall time,Step,Value
1567344503.0029197,0,4.314646244049072
1567344786.8136337,1,3.6674444675445557
1567345068.6301553,2,3.3994011878967285
1567345350.481478,3,3.1513776779174805
1567345631.9870157,4,2.930302858352661
1567345914.1124115,5,2.7055861949920654
1567346196.4554672,6,2.5314078330993652
1567346477.5297604,7,2.3765900135040283
1567346759.473192,8,2.219810962677002
1567347040.8179603,9,2.1240389347076416
1567347321.7601368,10,1.9959981441497803
1567347603.8301084,11,1.886949896812439
1567347884.8228514,12,1.7966550588607788
1567348167.5487378,13,1.7127248048782349
1567348450.3201127,14,1.6569169759750366
1567348732.3441296,15,1.5739959478378296
1567349015.1347883,16,1.5175092220306396
1567349297.3468585,17,1.4737104177474976
1567349579.155018,18,1.4125629663467407
1567349860.95393,19,1.3719063997268677
1567350608.4271398,20,1.3374199867248535
1567350894.2031848,21,1.3021366596221924
1567351175.3928375,22,1.2665135860443115
1567351457.2102368,23,1.2406235933303833
1567351739.6536033,24,1.2227778434753418
1567352022.472937,25,1.2002742290496826
1567352304.5910113,26,1.1859302520751953
1567352585.9759567,27,1.1727255582809448
1567352867.8568704,28,1.1405203342437744
1567353149.5243437,29,1.1288156509399414
1567353432.3293064,30,1.1040058135986328
1567353716.4033031,31,1.1055372953414917
1567353998.8801618,32,1.0920697450637817
1567354280.4239268,33,1.0797877311706543
1567354561.9772954,34,1.075094223022461
1567354844.0359023,35,1.0687510967254639
1567355126.2770393,36,1.0529929399490356
1567355408.6459239,37,1.0539183616638184
1567355690.8879385,38,1.0554169416427612
1567356448.2851524,39,1.0522524118423462
