Wall time,Step,Value
1567424204.1607718,0,2.3724565505981445
1567424457.1601195,1,2.1204490661621094
1567424704.938197,2,1.9572454690933228
1567424953.5450633,3,1.7618491649627686
1567425200.1792512,4,1.6222310066223145
1567425447.0453396,5,1.558432698249817
1567425693.4004538,6,1.4812334775924683
1567425940.4544423,7,1.4140533208847046
1567426188.0861804,8,1.3612576723098755
1567426435.4462104,9,1.2983185052871704
1567426683.1149085,10,1.2433222532272339
1567426931.3936195,11,1.2047597169876099
1567427179.1300159,12,1.1817809343338013
1567427426.7348793,13,1.1443469524383545
1567427674.470352,14,1.1170995235443115
1567427922.2502205,15,1.0845284461975098
1567428169.6547897,16,1.0693750381469727
1567428416.389854,17,1.0443226099014282
1567428663.3246315,18,1.0277750492095947
1567428910.4407716,19,1.007681965827942
1567429613.6118376,20,0.9942679405212402
1567429864.4504774,21,0.9741445779800415
1567430111.821713,22,0.9605318903923035
1567430358.873898,23,0.9482181072235107
1567430607.467757,24,0.9378386735916138
1567430854.1800659,25,0.9183753132820129
1567431101.6873853,26,0.9082494974136353
1567431350.4774268,27,0.9018200039863586
1567431598.136117,28,0.892711341381073
1567431844.8607697,29,0.8855020999908447
1567432092.2635572,30,0.8783146142959595
1567432338.5822115,31,0.8737173676490784
1567432584.571022,32,0.8684918284416199
1567432831.8725903,33,0.854268491268158
1567433079.1038718,34,0.8536924719810486
1567433326.72699,35,0.8457867503166199
1567433573.7722023,36,0.8417787551879883
1567433822.4043124,37,0.8445616364479065
1567434069.6114569,38,0.8360785841941833
1567434789.8868403,39,0.8362423777580261
