Wall time,Step,Value
1567424204.1599813,0,1.6213335990905762
1567424457.159926,1,1.383880376815796
1567424704.938088,2,1.2402256727218628
1567424953.5448885,3,1.170432686805725
1567425200.1790478,4,1.0406992435455322
1567425447.045173,5,0.9675512313842773
1567425693.4002368,6,0.8988039493560791
1567425940.4542701,7,0.8142454624176025
1567426188.0859566,8,0.7444865107536316
1567426435.4460106,9,0.6736171245574951
1567426683.1147332,10,0.5957726836204529
1567426931.3934977,11,0.5420593619346619
1567427179.129831,12,0.48845985531806946
1567427426.7346866,13,0.4410038888454437
1567427674.470187,14,0.40105971693992615
1567427922.249918,15,0.36291781067848206
1567428169.6545448,16,0.3316362500190735
1567428416.3896673,17,0.2984797954559326
1567428663.3244476,18,0.2718372642993927
1567428910.4406698,19,0.259685218334198
1567429613.6116345,20,0.2371586263179779
1567429864.4503715,21,0.21026912331581116
1567430111.8216054,22,0.19294613599777222
1567430358.8736966,23,0.18374080955982208
1567430607.4675918,24,0.1607341766357422
1567430854.179859,25,0.1493571400642395
1567431101.687244,26,0.13738419115543365
1567431350.477233,27,0.12934432923793793
1567431598.1358955,28,0.12214572727680206
1567431844.8605754,29,0.11686690151691437
1567432092.2633781,30,0.11266391724348068
1567432338.5820806,31,0.1036776602268219
1567432584.5708714,32,0.09971938282251358
1567432831.8723922,33,0.09501074999570847
1567433079.1036687,34,0.09441670775413513
1567433326.7267368,35,0.08928674459457397
1567433573.7719734,36,0.0864483043551445
1567433822.4040504,37,0.08836817741394043
1567434069.611198,38,0.0838230773806572
1567434789.8866544,39,0.08350836485624313
