Wall time,Step,Value
1567252652.4123964,0,4.0298333168029785
1567252942.2688115,1,3.413130044937134
1567253229.1314368,2,3.2118759155273438
1567253515.1513052,3,3.0453996658325195
1567253802.5147443,4,2.9143364429473877
1567254089.1080637,5,2.7529656887054443
1567254376.9163563,6,2.5402867794036865
1567254664.3009188,7,2.351715087890625
1567254950.8501842,8,2.1746106147766113
1567255237.6103342,9,2.011394500732422
1567255523.5547426,10,1.8744186162948608
1567255816.128237,11,1.7932429313659668
1567256102.2451403,12,1.699913501739502
1567256389.6783478,13,1.593510627746582
1567256675.9001,14,1.5078279972076416
1567256962.198578,15,1.4691672325134277
1567257247.9626806,16,1.4019583463668823
1567257533.6172616,17,1.367169976234436
1567257819.3459373,18,1.305450677871704
1567258106.5963395,19,1.276023030281067
1567258834.780292,20,1.2437520027160645
1567259124.6953623,21,1.209242820739746
1567259412.3303661,22,1.1760164499282837
1567259698.6171546,23,1.146484613418579
1567259985.4410055,24,1.1333186626434326
1567260273.3333962,25,1.1043680906295776
1567260558.6125124,26,1.0908973217010498
1567260845.7022355,27,1.0658066272735596
1567261133.8567235,28,1.060869812965393
1567261425.7253213,29,1.0431311130523682
1567261712.9583561,30,1.0302767753601074
1567262001.8647966,31,1.0125113725662231
1567262289.8239408,32,1.0111817121505737
1567262578.0799987,33,1.012251615524292
1567262865.4688215,34,0.9958465695381165
1567263153.5226142,35,0.9927535653114319
1567263440.8882065,36,0.9896063804626465
1567263730.1242092,37,0.9787182807922363
1567264017.5322964,38,0.9751776456832886
1567264753.924263,39,0.9743520021438599
